X,Y,Name,등급,대옹출토가마
126.883617,37.4304251,광명 소하동,D,0
126.722487,37.616075,김포 사우동,C,2
126.612231,37.6207081,김포 학운리,C,1
126.80504,37.4347826,시흥 은행동·계수동,D,0
127.432709,37.092863,안성 매산리,D,0
127.244563,36.9540926,안성 양변리,D,0
127.083574,37.2207783,용인 농서리,B,4
127.069972,37.2364031,용인 서천동,D,0
126.731587,37.5758023,인천 갈현동,D,0
126.688672,37.6131519,인천 불로동 4,D,0
126.680633,37.609683,인천 불로동Ⅰ,D,0
126.690558,37.6075344,인천 불로동Ⅲ,C,1
126.776103,37.832272,파주 능산리 2지점,D,0
126.73182,37.7405849,파주 다율리,A,6
126.729231,37.7255563,파주 목동동,C,2
126.751594,37.7341883,파주 와동리 2지점 B구역,C,2
126.761486,37.7237466,파주 운정2지구 12지점,D,0
126.739238,37.7296184,파주 운정2지구 5지점,C,1
126.735271,37.8163362,파주 축현리,A,6
127.079876,37.1178429,평택 가곡리,D,0
126.983689,37.0321576,평택 백봉리,D,0
126.93196,36.9838662,평택 현화리,D,0
126.920103,37.1497959,화성 가재리,C,2
126.962933,37.230933,화성 수영리,C,2
126.972878,37.116766,화성 요리,D,0
126.779348,37.0803186,화성 운평리,D,0
127.096064,37.1949637,화성 청계리,A,6