유구명,소성실길이,소성실폭,권역,형식,대옹
파주 축현리 1호,490,248,A,⓶,미출토
파주 축현리 2호,243,138,A,?,미출토
파주 축현리 3호,403,223,A,⓷,출토
파주 축현리 4호,384,190,A,⓷,출토
파주 축현리 5호,302,229,A,⓶,출토
파주 축현리 6호,263,149,A,⓷,출토
파주 축현리 7호,331,213,A,?,출토
파주 축현리 8호,,,A,?,미출토
파주 축현리 9호,268,160,A,?,출토
파주 다율동 9지점(약식 15) 가1,,195,A,?,출토
파주 다율동 9지점(약식 15) 가2,,124,A,?,미출토
파주 다율동 9지점(약식 16) 가4,614,228,A,?,출토
파주 다율동 9지점(약식 16) 가5,340,175,A,?,미출토
파주 다율동 9지점(약식 16) 가6,444,200,A,?,출토
파주 다율동 9지점(약식 16) 가7,613,192,A,?,미출토
파주 다율동 9지점(약식 16) 가9,650,214,A,?,출토
파주 다율동 9지점(약식 15) 나17,,186,A,?,출토
파주 다율동 9지점(약식 15) 나20,,177,A,?,출토
파주 능산리 2지점 1호,360,228,A,⓷,미출토
파주 능산리 2지점 2호,436,168,A,⓶,미출토
파주 와동리II 2지점 B구역 1호,302,158,A,?,출토
파주 와동리II 2지점 B구역 2호,439,180,A,⓶,출토
파주 운정 5지점 1호,771,197,A,⓶,출토
파주 운정 5지점 2호,,184,A,⓵,미출토
파주 운정 12지점 1호,385,153,A,⓶,출토
파주 목동동 라구역 1호,509,198,A,⓶,출토
파주 목동동 마구역 1호,236,178,A,⓵,출토
김포 학운리 1호,332,192,A,⓵,출토
김포 학운리 2호,226,136,A,⓵,미출토
김포 사우동(약식) 1호,,180,A,?,출토
김포 사우동(약식) 2호,,132,A,?,미출토
김포 사우동(약식) 3호,,168,A,?,출토
인천 불로동 4구역 1호,432,184,A,⓵,출토
인천 불로동 I I-6지점 1호,190,180,A,⓶,미출토
인천 불로동Ⅲ C구역 1호,396,196,A,⓶,미출토
인천 갈현동 1호,224,168,A,⓶,미출토
광명 소하동 1호,310,139,A,⓶,미출토
시흥 은행동·계수동 1호,,175,A,⓵,미출토
시흥 은행동·계수동 2호,,,A,⓶,미출토
화성 운평리 1호,325,110,B,⓵,미출토
화성 가재리 1호,,110,B,?,미출토
화성 가재리 2호,,115,B,?,미출토
화성 가재리 3호,,110,B,?,출토
화성 가재리 4호,256,126,B,⓵,출토
화성 수영리 1호,,,B,?,출토
화성 수영리 2호,,,B,?,출토
용인 서천동 1호,,,B,⓵,미출토
용인 농서리 1호,390,174,B,⓵,출토
용인 농서리 2호,390,140,B,⓵,출토
용인 농서리 3호,,,B,?,출토
용인 농서리 4호,,,B,?,출토
화성 청계리 1호,420,136,B,⓵,출토
화성 청계리 2호,434,168,B,⓵,출토
화성 청계리 3호,405,130,B,⓵,출토
화성 청계리 4호,353,150,B,⓵,출토
화성 청계리 5호,386,130,B,⓵,출토
화성 청계리 6호,,,B,?,출토
화성 청계리 7호,,,B,?,미출토
화성 요리 1호,406,165,B,⓵,미출토
화성 요리 2호,,,B,?,미출토
평택 가곡리 1호,267,143,B,⓶,미출토
평택 백봉리 1호,,,B,⓵,미출토
평택 현화리 1호,,,B,⓵,미출토
안성 양변리 1호,318,244,B,⓷,미출토
안성 매산리 1호,190,150,B,⓵,미출토
원주 만종리 1호,,,기타,?,미출토
원주 만종리 2호,,,기타,?,미출토
원주 만종리 3호,,,기타,?,미출토
원주 만종리 4호,,,기타,?,미출토